file,n_ac
1D5N,820
6A9P,820
2V1D,815
1A8I,812
1YK1,809
5O9V,808
1CQX,806
1AV1,804
1AXC,804
1AKA,802
2FD6,797
1ANT,794
1AHE,792
1FKN,792
2BCK,790
1A0O,785
5UNF,785
1D0G,781
1R46,781
2IWG,776
1FV1,775
2GL8,771
2CLR,770
2GT9,770
5INC,770
1F66,769
1HSA,768
1Q94,768
1TVB,768
3W39,768
1A5K,767
1KPR,766
1AQI,764
3BZF,764
1AI4,763
3LDL,762
2CV5,761
2Q6W,758
1CKL,756
1DDG,755
3WA9,753
3WKJ,753
3B6R,752
1CD9,750
1XX9,749
1HT0,748
4NFT,748
2D31,747
1M6H,746
1EHK,743
1LVK,743
1AJ8,741
1S9V,739
2VDX,736
1EKF,730
1F9C,720
3UX9,720
5YHL,718
1A05,714
1DD1,712
1DTW,708
4NKQ,708
1KJY,707
4TVS,704
3AN2,702
3H9E,700
1J1D,698
3GC8,693
4V06,690
1DTZ,689
2ZCH,681
3K2O,673
6AL5,672
1IRJ,670
1II7,665
1I0Z,664
1BBS,662
2XWT,662
1CM8,654
1F1M,648
1A5S,645
1ADQ,644
1F05,644
4RV7,633
1ZIW,629
2B5I,629
1.00E+51,625
3Q4T,622
3BPN,620
3MOS,618
3DI2,616
1AKJ,611
5MX0,610
3ZOS,609
1NI2,592
4NUU,592
1D5M,590
1CN4,589
5O9H,589
2P4E,586
1F0Y,582
1CZZ,577
1A3A,576
1A00,574
1A9W,572
1DE7,572
1GHQ,570
1EQU,568
1BVN,567
1PKG,567
5NDD,567
2WOK,561
1WD8,559
4HT1,559
5VAK,558
5LGD,553
1YJD,547
1AWB,544
6AK3,544
1AUI,543
1GWB,541
1C2B,539
5TL5,539
1DT3,538
3ZZW,535
2XQB,534
4TNB,529
1MQB,528
1HYR,527
4QYL,525
1A9N,523
1JCZ,520
1A5H,518
1ABR,518
4ITH,518
1AZN,512
1K2W,512
3WXV,509
3WXW,509
1EKU,506
1CSB,504
1YH3,504
1GWQ,503
1A8H,500
3SOP,500
5J11,500
1AG1,498
1C0F,494
1BMT,492
4F3F,489
2WA1,488
1EQY,484
1YFK,483
1AUK,480
1DUG,468
1TQN,468
3FE2,468
2D9Q,467
2JJS,467
1AZ0,466
1DEV,466
3REZ,459
1FJ2,458
1A8M,456
5CXV,451
1GK4,450
2QC7,448
2UZ9,447
3BIK,446
1AI1,445
5F4E,445
1HCF,444
1Y6L,444
1EJO,443
3V2W,442
1BOG,438
2HKF,438
3CXD,438
3UON,438
1AT3,434
3CZF,434
1A5F,432
2B2T,431
1SM3,430
3RZE,428
2ZFU,423
1OEP,422
1AXD,420
4IP8,420
1VYQ,418
1EX4,416
1JDN,407
3ZDR,404
3VCL,403
1AOX,402
3LN4,402
1OC0,401
1AER,400
1FYR,398
6MT4,398
1A8K,396
1AP5,396
1PK6,394
4YAY,393
1FL7,387
1PT6,387
5IEH,387
1A1M,386
1JK8,385
1XR8,385
6CPL,385
1AI9,384
1.00E+27,384
1M6O,384
1YDP,384
2BVO,384
2H6P,384
1A1N,383
1AGB,383
1BP3,383
5VGD,383
1C7Z,382
4O2C,382
2XPG,381
5W67,380
3LQZ,379
1A6A,378
1BHO,378
1O5T,378
1ES7,377
4IB4,375
1A7C,374
1ATU,374
1D2O,374
1FU1,373
1A22,372
1HSB,372
3IAR,370
1AS4,369
1B78,368
1CQP,364
1RY7,364
1A6Q,363
1EUR,361
1SG1,361
2AA0,360
1BQQ,358
1F6B,356
1EXU,355
1AIR,352
3RO2,352
1A9U,351
1AL7,350
1DFV,347
1EK5,346
1NYS,343
1CA7,342
2BQZ,340
1G1S,337
1DJS,336
1B7F,334
1J33,333
1D8U,330
1AU1,329
2RHI,326
3PV6,326
1B6B,324
1L4A,324
1CM0,323
2R2J,322
1A40,321
3FYF,321
3URF,320
1EXT,318
1KKH,317
2QQJ,317
3BRX,317
1AA7,315
1GKC,315
2FYT,315
2RFJ,315
1X0J,312
5VKJ,312
1M4U,311
1VIA,311
3K51,310
1STF,309
2YDO,309
1DMW,307
1AZV,306
1MLA,305
1BJP,304
4MSV,300
1N26,299
1VHN,299
1F42,297
2QLU,297
1LCY,296
1B2R,295
1NRN,295
2V53,292
1AOH,290
1XAR,290
1AD8,287
1AQZ,285
1M4R,283
1TNR,283
3W4O,279
1AQ1,277
4AWN,268
1A5I,265
2BV1,264
3M0D,264
3WSR,261
4CSJ,261
1C3A,260
1AZM,258
3CPF,258
3RJD,257
4XSJ,256
12CA,255
3LLI,251
1A7V,250
1E7K,248
4HSV,248
4JZL,246
1Z92,244
1CSG,240
1KON,233
2OR8,232
1BM7,228
1AKS,223
1QYM,223
4OY9,223
5J03,221
2GK2,220
1B0F,218
1AY9,216
1HUL,216
1A75,214
4NH9,214
2BRQ,213
1BQS,209
4F80,209
1A30,201
5APA,201
1BNK,200
1IUE,196
4ERV,196
1HCN,195
3HXT,195
2JIL,194
1IAP,190
1Q2H,188
1DUJ,187
2HE3,187
4EOT,186
1CYN,180
2FFX,179
1SHT,177
2RI7,177
1914,171
1FXL,167
1HA1,167
121P,166
2XJY,166
5K26,164
1Q0N,158
1ESL,157
1B34,154
5Y4M,154
1YRV,153
1CDM,151
5BV6,151
1DOK,149
2WUT,144
2W44,141
1A3K,137
2X4W,137
1BBN,133
1IRL,133
1TOU,131
2QKH,128
3C59,128
1A15,124
1NR2,124
1A4V,123
1B11,118
1A0B,117
1AOT,116
1BHF,108
1F1F,88
4R2A,88
4BDW,83
1CEU,51
1MHU,31
