file,n_ac
2AW5,1600
2L43,1600
3FBY,1605
1X6A,1620
1W72,1632
2KLR,1640
3CDA,1655
1T77,1656
2EAN,1660
2LSO,1660
1G4F,1720
1B6C,1732
1OQD,1734
1WF0,1760
2VV5,1792
5NB0,1805
1UCP,1820
6C23,1822
2LW8,1830
1K36,1840
5D8S,1869
2ID5,1886
1UFW,1900
2GSE,1901
2KBW,1910
1FA3,1920
2N3J,1960
1UGO,1980
2LA6,1980
1UKL,1984
2DO4,2000
1C8P,2040
2VXS,2043
2DBG,2060
2HYE,2129
1ADZ,2130
1W0C,2130
2DJS,2160
1AB2,2180
1RWT,2181
2EKX,2200
2M9X,2240
1MJD,2260
2ALB,2260
1WQU,2280
2EJE,2280
3ZED,2327
4F7B,2333
2K2J,2340
2EO9,2360
1J3C,2370
2ECD,2380
2YQG,2460
1DZ7,2484
1DPU,2550
2K45,2560
1AH1,2580
1GD5,2600
1I16,2600
1UAP,2620
6A4K,2672
2MAW,2680
1WFM,2760
2MJV,2760
4B3L,2766
1JSP,2800
4OMC,2810
1AWW,2814
2D8K,2820
1VIG,2840
6GFF,2953
2MHG,3000
1MKE,3024
2EBZ,3100
1AUD,3131
1J0S,3140
6A3V,3342
1MQ1,3502
1OCC,3560
1MGS,3650
1FFK,3656
4F61,3685
1W2B,3739
1F16,3840
1DEQ,3900
3CWB,4077
1H2I,4092
1XFB,4104
1N6U,4664
1HAQ,4852
5A2Q,4945
1LGR,5340
6G18,6060
4R3O,6286
5L5I,6346
3J6B,6712
1Y8B,7230
6G2J,8152
1FNT,9110
6MSJ,13524
2M3X,17640
